Número Município Nome                        Aponds
   321 2902906   Barra do Choça                   2
   322 2903201   Barreiras                        7
   323 2903904   Bom Jesus da Lapa                2
   324 2904605   Brumado                          3
   325 2904902   Cachoeira                        2
   326 2905206   Caetité                          2
   327 2905602   Camacan                          2
   328 2905701   Camaçari                        12
   329 2906006   Campo Formoso                    2
   330 2906303   Canavieiras                      2
   331 2906501   Candeias                         4
   332 2906808   Cansanção                        2
   333 2906873   Capim Grosso                     2
   334 2907202   Casa Nova                        2
   335 2907509   Catu                             2
   336 2907806   Cícero Dantas                    2
   337 2908408   Conceição do Coité               3
   338 2909307   Correntina                       2
   339 2909802   Cruz das Almas                   3
   340 2910057   Dias d'Ávila                     3
   341 2910503   Entre Rios                       2
   342 2910602   Esplanada                        2
   343 2910701   Euclides da Cunha                2
   344 2910727   Eunápolis                        5
   345 2910800   Feira de Santana                14
   346 2911204   Gandu                            2
   347 2911709   Guanambi                         4
   348 2912202   Ibicoara                         2
   349 2913606   Ilhéus                           9
   350 2913903   Ipiaú                            2
   351 2914000   Ipirá                            3
   352 2914604   Irecê                            3
   353 2914703   Itaberaba                        3
   354 2914802   Itabuna                         14
   355 2915601   Itamaraju                        2
   356 2916401   Itapetinga                       3
   357 2916500   Itapicuru                        2
   358 2917003   Itiúba                           2
   359 2917508   Jacobina                         4
   360 2917607   Jaguaquara                       2
   361 2917706   Jaguarari                        2
   362 2918001   Jequié                           7
   363 2918100   Jeremoabo                        2
   364 2918407   Juazeiro                        11
   365 2919207   Lauro de Freitas                 8
   366 2919504   Livramento de Nossa Senhora      2
   367 2919553   Luís Eduardo Magalhães           3
   368 2919801   Macaúbas                         2
   369 2920601   Maragogipe                       2
   370 2921005   Mata de São João                 2
   371 2921500   Monte Santo                      2
   372 2921708   Morro do Chapéu                  2
   373 2922003   Mucuri                           2
   374 2923001   Nova Viçosa                      2
   375 2924009   Paulo Afonso                     5
   376 2925105   Poções                           2
   377 2925204   Pojuca                           2
   378 2925303   Porto Seguro                     7
   379 2926004   Remanso                          2
   380 2926301   Riachão do Jacuípe               2
   381 2926608   Ribeira do Pombal                2
   382 2927002   Rio Real                         2
   383 2927408   Salvador                        62
   384 2928000   Santaluz                         2
   385 2928109   Santa Maria da Vitória           2
   386 2928604   Santo Amaro                      3
   387 2928703   Santo Antônio de Jesus           4
   388 2928802   Santo Estêvão                    2
   389 2929206   São Francisco do Conde           2
   390 2929305   São Gonçalo dos Campos           2
   391 2929503   São Sebastião do Passé           2
   392 2929909   Seabra                           2
   393 2930105   Senhor do Bonfim                 4
   394 2930501   Serrinha                         4
   395 2930709   Simões Filho                     6
   396 2931350   Teixeira de Freitas              6
   397 2931905   Tucano                           2
   398 2932903   Valença                          5
   399 2933208   Vera Cruz                        2
   400 2933307   Vitória da Conquista            14
   401 2933604   Xique-Xique                      2
   402 3101508   Além Paraíba                     2
   403 3101607   Alfenas                          3
   404 3101706   Almenara                         2
   405 3102605   Andradas                         2
   406 3103405   Araçuaí                          2
   407 3103504   Araguari                         6
   408 3104007   Araxá                            5
   409 3104205   Arcos                            2
   410 3105608   Barbacena                        7
   411 3106200   Belo Horizonte                  67
   412 3106705   Betim                           20
   413 3107109   Boa Esperança                    2
   414 3107307   Bocaiúva                         2
   415 3107406   Bom Despacho                     2
   416 3108602   Brasília de Minas                2
   417 3109006   Brumadinho                       2
   418 3110004   Caeté                            2
   419 3110608   Cambuí                           2
   420 3111200   Campo Belo                       3
   421 3112307   Capelinha                        2
   422 3113305   Carangola                        2
   423 3113404   Caratinga                        4
   424 3114303   Carmo do Paranaíba               2
   425 3115300   Cataguases                       4
   426 3118007   Congonhas                        2
   427 3118304   Conselheiro Lafaiete             5
   428 3118601   Contagem                        14
   429 3119302   Coromandel                       2
   430 3119401   Coronel Fabriciano               5
   431 3120904   Curvelo                          3
   432 3121605   Diamantina                       2
   433 3122306   Divinópolis                      7
   434 3124104   Esmeraldas                       2
   435 3124302   Espinosa                         2
   436 3126109   Formiga                          3
   437 3127107   Frutal                           2
   438 3127701   Governador Valadares            13
   439 3128006   Guanhães                         2
   440 3128709   Guaxupé                          2
   441 3129806   Ibirité                          8
   442 3130101   Igarapé                          2
   443 3131307   Ipatinga                        12
   444 3131703   Itabira                          5
   445 3131901   Itabirito                        2
   446 3132404   Itajubá                          4
   447 3132503   Itamarandiba                     2
   448 3133808   Itaúna                           4
   449 3134202   Ituiutaba                        6
   450 3134400   Iturama                          2
   451 3135050   Jaíba                            2
   452 3135100   Janaúba                          3
   453 3135209   Januária                         2
   454 3136207   João Monlevade                   3
   455 3136306   João Pinheiro                    2
   456 3136702   Juiz de Fora                    14
   457 3137205   Lagoa da Prata                   2
   458 3137601   Lagoa Santa                      2
   459 3138203   Lavras                           5
   460 3138401   Leopoldina                       2
   461 3139003   Machado                          2
   462 3139409   Manhuaçu                         3
   463 3139607   Mantena                          2
   464 3140001   Mariana                          2
   465 3140704   Mateus Leme                      2
   466 3143104   Monte Carmelo                    2
   467 3143302   Montes Claros                   22
   468 3143906   Muriaé                           5
   469 3144003   Mutum                            2
   470 3144300   Nanuque                          2
   471 3144805   Nova Lima                        4
   472 3145208   Nova Serrana                     4
